Suburb,Address,Rooms,Type,Price,BuildingArea,YearBuilt
Bentleigh East,18 Mervin St,2,h,1410000,NA,NA
Bentleigh East,1/69 Purtell St,3,t,760000,NA,NA
Bentleigh East,30 Veronica St,2,h,825000,125,2008
Bentleigh East,2a Bessie St,2,u,746000,95,2002
Bentleigh East,14a Daphne St,1,u,580000,NA,NA
Bentleigh East,19 Denver St,5,h,1275000,190,1960
Bentleigh East,93 Parkmore Rd,3,h,1206000,NA,NA
Bentleigh East,14B Boronia St,3,t,1115000,NA,NA
Bentleigh East,76 Castlewood St,4,h,1190000,NA,NA
Bentleigh East,38 Edinburgh St,4,h,1270000,NA,NA
Bentleigh East,1/41 Elizabeth St,3,u,1025000,120,1999
Bentleigh East,6/12 Neville St,3,u,740000,NA,NA
Bentleigh East,27 Neville St,4,h,1960000,NA,NA
Bentleigh East,2/25 Birdwood St,2,u,495000,79,1980
Bentleigh East,8a Bray Ct,2,u,570000,NA,NA
Bentleigh East,24 Brooks St,4,h,1220000,178,1950
Bentleigh East,13 Claronga St,3,h,885000,110,1950
Bentleigh East,17a Edinburgh St,3,t,830000,141,2012
Bentleigh East,49 Gowrie St,4,h,1137500,NA,NA
Bentleigh East,1 Konrad St,4,h,1100000,NA,1975
Bentleigh East,19 Kurrajong St,3,h,1040000,NA,1970
Bentleigh East,34b Lesden St,4,t,1210000,222,2014
Bentleigh East,59 Tambet St,4,t,1160000,180,2006
Bentleigh East,24 Barrani St,3,h,1215000,110,1970
Bentleigh East,71 Bignell Rd,4,h,1200000,191,1960
Bentleigh East,96 Brady Rd,3,h,1050000,140,1950
Bentleigh East,25 Connie St,5,h,950000,146,1950
Bentleigh East,9/7 Derry St,2,u,380000,78,1970
Bentleigh East,3/32 Elizabeth St,2,h,689000,87,NA
Bentleigh East,33 Molden St,3,h,1400000,NA,NA
Bentleigh East,20 Normdale Rd,3,h,965000,NA,NA
Bentleigh East,38 Northam Rd,3,h,1338000,177,1970
Bentleigh East,48a Purtell St,3,t,8e+05,NA,NA
Bentleigh East,1/6 Richard St,2,u,651000,150,1960
Bentleigh East,12 Rudyard St,3,h,920000,NA,1955
Bentleigh East,3 Veronica St,3,h,1390000,118,1960
Bentleigh East,2/12 Blenheim St,2,u,495000,NA,NA
Bentleigh East,4/19 Gray St,1,u,370000,NA,1970
Bentleigh East,4 Tambet St,3,h,1100000,163,1955
Bentleigh East,109 Victor Rd,4,h,1100000,NA,NA
Bentleigh East,7 Wallace St,3,h,1355000,NA,NA
